@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
932,1263,47
451,606,49
58,125,50
601,815,16
1041,1762,17
1179,1745,18
890,1249,20
638,865,23
114,195,28
1660,2354,42
890,1240,40
125,145,39
2837,3631,38
545,789,37
762,954,36
2710,4073,35
3334,5189,34
709,892,33
121,224,41
311,409,32
179,282,30
369,569,29
1816,2345,27
150,220,26
628,815,25
1490,1752,24
1092,2120,3
874,1586,48
1250,2909,31
5505,6257,43
1526,2243,15
1267,1875,45
2092,3265,14
437,618,44
1183,1731,18
606,815,16
226,317,21
868,1237,20
1488,2250,15
2072,3278,14
210,288,13
430,657,12
138,217,11
2036,2616,10
152,182,8
259,316,7
529,1030,6
875,1261,5
4812,6641,4
744,1003,2
1359,1635,1
86,131,0
956,1338,19
5250,6501,9
1066,1762,17
462,606,49
1504,1753,24
880,1574,48
61,125,50
641,875,23
920,1261,47
79,97,46
1244,1878,45
424,615,44
5508,6276,43
1659,2352,42
125,224,41
860,1243,40
120,149,39
1098,2136,3
2739,3646,38
750,954,36
2635,4062,35
3290,5186,34
701,893,33
300,395,32
1277,2934,31
183,284,30
359,569,29
121,198,28
1792,2344,27
147,219,26
618,824,25
556,785,37
1851,2476,22
827,1554,48
202,294,13
1349,1621,1
623,823,25
139,220,26
1785,2323,27
115,195,28
349,569,29
182,284,30
1224,2933,31
309,398,32
703,893,33
3225,5182,34
2564,4056,35
716,950,36
545,781,37
2671,3592,38
119,148,39
84,129,0
114,225,41
1593,2349,42
5459,6242,43
427,618,44
1247,1890,45
73,97,46
910,1255,47
431,606,49
60,125,50
1469,1731,24
1066,2130,3
851,1244,40
618,861,23
838,1227,20
971,1349,19
1152,1737,18
1033,1762,17
583,812,16
1436,2253,15
2041,3291,14
434,652,12
226,316,21
142,219,11
5136,6448,9
144,182,8
257,313,7
543,1030,6
863,1310,5
4710,6671,4
745,1013,2
2034,2624,10
1802,2483,22
327,558,29
237,307,7
145,182,8
168,284,30
810,1566,48
57,125,50
439,606,49
908,1259,47
79,97,46
1212,1889,45
388,615,44
5392,6198,43
1524,2357,42
1753,2321,27
107,222,41
121,146,39
2576,3571,38
504,768,37
724,951,36
2444,4067,35
3128,5183,34
713,896,33
317,400,32
1164,2913,31
821,1240,40
138,220,26
110,197,28
1450,1744,24
5060,6462,9
608,830,25
1983,2611,10
133,220,11
386,648,12
204,289,13
1958,3286,14
1398,2238,15
1044,1761,17
1142,1730,18
939,1327,19
817,1216,20
576,807,16
1759,2455,22
590,861,23
540,1030,6
800,1310,5
4580,6640,4
728,997,2
1310,1580,1
86,129,0
229,315,21
1029,2132,3
514,775,37
2653,3581,38
812,1572,48
125,145,39
940,1257,47
105,222,41
1585,2345,42
5368,6133,43
717,954,36
836,1241,40
2452,4044,35
1034,2134,3
705,899,33
323,402,32
1170,2929,31
175,284,30
351,567,29
117,195,28
1741,2322,27
137,219,26
621,828,25
1447,1724,24
72,97,46
419,606,49
3132,5187,34
57,125,50
1237,1892,45
547,1030,6
602,881,23
1776,2477,22
226,314,21
829,1214,20
899,1315,19
1149,1739,18
1041,1761,17
596,813,16
1389,2247,15
380,617,44
1930,3286,14
410,647,12
143,218,11
1994,2627,10
5127,6449,9
144,182,8
238,312,7
842,1306,5
4580,6604,4
86,132,0
211,291,13
1312,1592,1
739,1004,2
2636,4050,35
1103,1761,17
625,815,16
778,961,36
2067,3293,14
225,294,13
423,653,12
150,218,11
2069,2607,10
5363,6488,9
148,182,8
246,326,7
568,1030,6
863,1309,5
4725,6645,4
1208,1759,18
752,1008,2
2780,3608,38
99,133,0
124,141,39
888,1241,40
122,226,41
1603,2361,42
5586,6338,43
400,613,44
1295,1881,45
77,97,46
974,1276,47
430,606,49
58,125,50
880,1579,48
1357,1593,1
974,1348,19
1534,2236,15
246,314,21
3260,5188,34
711,903,33
339,405,32
1253,2931,31
189,285,30
359,562,29
120,197,28
1825,2344,27
144,220,26
638,832,25
851,1220,20
1080,2161,3
1505,1731,24
1826,2466,22
556,793,37
657,893,23
428,653,12
884,1578,48
662,891,23
709,898,33
1873,2489,22
241,312,21
877,1234,20
1018,1355,19
1217,1752,18
1114,1762,17
92,133,0
1340,1594,1
773,1008,2
850,1301,5
564,1030,6
260,324,7
147,182,8
5408,6520,9
2096,2621,10
637,822,16
1539,2239,15
2147,3297,14
214,293,13
149,218,11
4803,6676,4
322,400,32
912,1244,40
113,197,28
1836,2349,27
156,219,26
640,829,25
1500,1746,24
1165,2167,3
3267,5210,34
2674,4054,35
760,961,36
545,779,37
2825,3645,38
123,148,39
125,224,41
1607,2364,42
54,125,50
442,607,49
952,1278,47
79,97,46
1282,1889,45
379,562,29
430,617,44
5616,6291,43
1226,2930,31
183,284,30
4820,6720,4
875,1580,48
666,896,23
1863,2497,22
237,312,21
867,1237,20
978,1336,19
1199,1746,18
1121,1762,17
622,815,16
1488,2198,15
2117,3295,14
217,296,13
437,661,12
144,218,11
2126,2617,10
5479,6496,9
152,182,8
253,330,7
94,132,0
1382,1610,1
551,1030,6
853,1306,5
772,1006,2
1303,1897,45
1506,1740,24
1135,2178,3
53,125,50
450,607,49
955,1265,47
79,97,46
432,616,44
5599,6200,43
